virus,reference,hi
EPI416399,EPI617718,1.687804878048782
EPI416399,EPI2079749,2.8290598290598314
EPI416399,EPI326206,1.742424242424244
EPI416399,EPI319590,1.88826815642458
EPI416399,EPI309633,1.5197368421052655
EPI416399,EPI316435,2.147286821705425
EPI416399,EPI390473,0.4127906976744171
EPI416399,EPI1853200,0.4127906976744171
EPI405811,EPI1161425,0.0
EPI405811,EPI617718,0.0
EPI405811,EPI326206,0.0
EPI405811,EPI319590,0.0
EPI405811,EPI309633,0.0
EPI405811,EPI316435,0.0
EPI405811,EPI390473,0.0
EPI405811,EPI1853200,0.0
EPI407957,EPI1161425,3.687804878048782
EPI407957,EPI617718,3.687804878048782
EPI397112,EPI1161425,3.687804878048782
EPI397112,EPI617718,3.687804878048782
EPI407957,EPI326206,3.742424242424244
EPI397112,EPI326206,3.742424242424244
EPI407957,EPI319590,3.88826815642458
EPI397112,EPI319590,3.88826815642458
EPI407957,EPI309633,2.5197368421052655
EPI397112,EPI309633,2.5197368421052655
EPI407957,EPI316435,4.147286821705425
EPI397112,EPI316435,4.147286821705425
EPI407957,EPI390473,2.412790697674417
EPI407957,EPI1853200,2.412790697674417
EPI397112,EPI390473,2.412790697674417
EPI397112,EPI1853200,2.412790697674417
EPI405813,EPI1161425,0.687804878048782
EPI405813,EPI617718,0.687804878048782
EPI405813,EPI326206,2.742424242424244
EPI405813,EPI319590,2.88826815642458
EPI405813,EPI309633,2.5197368421052655
EPI405813,EPI316435,3.147286821705425
EPI405813,EPI390473,1.4127906976744171
EPI405813,EPI1853200,1.4127906976744171
EPI562800,EPI1161425,0.23958558169652538
EPI562800,EPI617718,0.23958558169652538
EPI562800,EPI326206,0.08821548821548836
EPI562800,EPI319590,0.10244969595095654
EPI562800,EPI309633,0.17303213786679145
EPI562800,EPI316435,0.2069012828428339
EPI562800,EPI390473,0.03756708407871193
EPI562800,EPI1853200,0.03756708407871193
EPI407961,EPI1161425,1.687804878048782
EPI407961,EPI617718,1.687804878048782
EPI416435,EPI1161425,1.687804878048782
EPI416435,EPI617718,1.687804878048782
EPI404895,EPI1161425,1.687804878048782
EPI404895,EPI617718,1.687804878048782
